Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2j3PFZXmenUxgjjBUIod7F,"Bonzo Goes to Bitburg","Animal Boy","Ramones",1986,233466,60,false,ruffoj,2024-04-04T17:40:41Z,"punk,proto-punk","Rhino/Warner Records",0.41,0.854,7,-11.665,1,0.0864,0.295,0.0000092,0.355,0.495,174.66,4
spotify:track:2rBHnIxbhkMGLpqmsNX91M,"Bombtrack","Rage Against The Machine - XX (20th Anniversary Special Edition)","Rage Against The Machine",1992,243453,70,true,ruffoj,2024-04-04T17:40:41Z,"rap metal,rap rock,alternative metal,nu metal","Epic/Legacy",0.459,0.926,4,-3.415,1,0.155,0.0239,0.0000193,0.183,0.569,151.534,4
spotify:track:3quYoE7KgIIaqVXPd7MpX0,"Wherever I May Roam - Remastered 2021","Metallica (Remastered 2021)","Metallica",2021-09-10,404333,71,false,ruffoj,2024-04-04T17:40:41Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.537,0.831,9,-7.467,0,0.0364,0.000617,0.000571,0.117,0.351,131.384,4
spotify:track:6olS0TmHmsGr0hXtcBsiVM,"A Tout Le Monde - Remastered 2004","Youthanasia (Expanded Edition - Remastered)","Megadeth",1994-10-28,262133,69,false,ruffoj,2024-04-04T17:40:41Z,"thrash metal,metal,heavy metal,speed metal","Capitol Records",0.272,0.747,5,-4.86,0,0.0401,0.000393,0.0000403,0.16,0.255,202.777,4
spotify:track:4QC1Kd4dctVuVA5I6HFuoj,"Turbo Lover - Remastered","Turbo 30 (Remastered 30th Anniversary Deluxe Edition)","Judas Priest",2017-02-03,334000,54,false,ruffoj,2024-04-04T17:40:41Z,"heavy metal,metal,hard rock,glam metal","Sony Music UK",0.551,0.877,9,-7.021,1,0.0371,0.175,0.00000805,0.392,0.753,151.585,4
spotify:track:7fcfNW0XxTWlwVlftzfDOR,"Walk","Vulgar Display of Power","Pantera",1992-02-21,315120,80,true,ruffoj,2024-04-04T17:40:41Z,"groove metal,metal,thrash metal,heavy metal","Atlantic Records",0.43,0.704,1,-8.008,0,0.0804,0.000155,0.00221,0.0933,0.703,118.242,4
spotify:track:4APKRaVYRwTvL5AevC1R1C,"Concrete Jungle","Shot To Hell","Black Label Society",2006-09-12,204266,47,false,ruffoj,2024-04-04T17:40:41Z,"groove metal,metal,heavy metal","eOne Music",0.451,0.987,9,-4.105,1,0.106,0.00000954,0.102,0.0568,0.368,137.731,4
spotify:track:3agtg0x11wPvLIWkYR39nZ,"Somewhere I Belong","Meteora","Linkin Park",2003-03-25,213933,78,false,ruffoj,2024-04-04T17:40:41Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.451,0.951,1,-3.754,1,0.0645,0.000386,0.00000256,0.261,0.441,162.041,4
spotify:track:1lATXTBJDHwawvT1UfxWu3,"The Pot","10000 Days","TOOL",2006-04-28,381946,74,true,ruffoj,2024-04-04T17:40:41Z,"progressive metal,alternative metal,progressive rock,metal","RCA Records Label",0.469,0.79,7,-6.889,1,0.0391,0.000148,0.372,0.282,0.466,107.45,4
spotify:track:3620P9KJS2PDebJ9ABFitc,"18 and Life","Skid Row","Skid Row",1989-01-24,229960,77,false,ruffoj,2024-04-04T17:40:41Z,"glam metal,glam rock,hard rock","BMG Rights Management (US) LLC",0.303,0.648,1,-11.101,0,0.0347,0.00226,0.0000149,0.112,0.305,180.898,4
spotify:track:5qxN63QA4Hk1zgdLCsZFE2,"Heaven and Hell","Heaven & Hell","Black Sabbath",1980-04-25,417840,70,false,ruffoj,2024-04-04T17:40:41Z,"metal,heavy metal,rock,stoner rock,doom metal,hard rock,classic rock","Sanctuary Records",0.333,0.445,3,-16.343,0,0.0283,0.00858,0.0451,0.167,0.35,89.371,4
spotify:track:0ElAcOj8tudMA6X6KZ7SMO,"Children of the Grave (2009 Remaster)","Master of Reality","Black Sabbath",1971-07-21,315893,68,false,ruffoj,2024-04-04T17:40:41Z,"metal,heavy metal,rock,stoner rock,doom metal,hard rock,classic rock","Sanctuary Records",0.337,0.722,6,-11.384,1,0.0478,0.0352,0.052,0.101,0.28,149.103,4
spotify:track:65HA9FsYyA2xro9RzNlNmy,"Kickstart My Heart","Dr. Feelgood","Mötley Crüe",1989-09-01,282653,14,false,ruffoj,2024-04-04T17:40:41Z,"glam metal,hard rock,glam rock","BMG Rights Management (US) LLC",0.363,0.982,7,-3.621,0,0.3,0.00123,0.00218,0.284,0.275,179.23,4
spotify:track:1Z6lKdYhwp8WYoBqGCKxlM,"Unskinny Bop","Flesh & Blood","Poison",1990,228066,65,false,ruffoj,2024-04-04T17:40:41Z,"glam metal,glam rock","Capitol Records",0.574,0.93,1,-2.949,1,0.0413,0.0657,0.00000778,0.108,0.69,92.303,4
spotify:track:0PdM2a6oIjqepoEfcJo0RO,"Pour Some Sugar On Me - Remastered 2017","Hysteria (Super Deluxe)","Def Leppard",1987-08-03,267306,79,false,ruffoj,2024-04-04T17:40:41Z,"glam metal,glam rock,classic rock","UMC (Universal Music Catalogue)",0.267,0.953,1,-4.899,0,0.096,0.00211,0,0.283,0.568,84.989,4
spotify:track:5yRAFKdtf6CXxESXbXV1lp,"Here I Go Again - Radio Mix","Whitesnake (30th Anniversary Super Deluxe Edition)","Whitesnake",2017-10-27,232133,60,false,ruffoj,2024-04-04T17:40:41Z,"glam metal,hard rock,glam rock","Parlophone UK",0.48,0.887,7,-4.91,1,0.0319,0.147,0.00011,0.33,0.69,92.971,4
spotify:track:7ACxUo21jtTHzy7ZEV56vU,"Crazy Train","Blizzard Of Ozz (40th Anniversary Expanded Edition)","Ozzy Osbourne",2020-09-18,293183,81,false,ruffoj,2024-04-04T17:40:41Z,"metal,glam metal,heavy metal,hard rock","Epic/Legacy",0.454,0.913,9,-4.008,1,0.107,0.408,0.000271,0.248,0.521,137.688,4
spotify:track:7t3wLZi6Xit8XRt24POyQW,"XXYY","Mujer Cebra","Mujer Cebra",2021-11-26,166536,36,false,ruffoj,2024-04-04T17:43:45Z,"","Casa del Puente Discos",0.376,0.873,7,-4.984,1,0.0725,0.000187,0.00000345,0.185,0.611,160.144,4
spotify:track:0xMVKpVNuiWYh5eA3xQHEW,"Guerrero Atípico","Todo lo Sólido se Desvanece en el Aire","Camionero",2023-11-09,251407,42,false,ruffoj,2024-04-04T17:43:45Z,"","Cordillera DISCOS",0.489,0.831,0,-5.49,1,0.067,0.00635,0.00176,0.175,0.425,162.99,4
spotify:track:79w038Wz0ceAI4lx1YEBtJ,"En la Arena","Paranormal","Buenos Vampiros",2019-11-22,265473,28,false,ruffoj,2024-04-04T17:43:45Z,"post-punk","Casa del Puente Discos",0.486,0.912,2,-7.453,1,0.0437,0.127,0.717,0.108,0.872,144.93,4
spotify:track:1vCzdeYfOxBtQhNw7iVU5r,"Elefante","Elefante","Revistas",2021-06-18,237636,4,false,ruffoj,2024-04-04T17:43:45Z,"","Revistas",0.481,0.617,0,-9.26,1,0.0377,0.00015,0.422,0.15,0.782,79.979,4
spotify:track:1eiBEbF2RNKF1OuMzjY0Mt,"LUZ Y FUERZA","ORDEN Y PROGRESO","FERMIN",2021-12-03,223921,12,false,ruffoj,2024-04-04T17:43:45Z,"argentine trap","FERMIN",0.573,0.739,5,-8.574,1,0.0362,0.0221,0.302,0.349,0.398,115.022,4
spotify:track:3fG3Ds1rzPt5kScGIlocTH,"Eso no es Amor","Día del Trabajador","Fonso",2023-09-15,285176,26,false,ruffoj,2024-04-04T17:43:45Z,"latin indie","Indie Folks",0.568,0.911,2,-7.757,1,0.0405,0.00997,0.206,0.381,0.68,85.039,4
spotify:track:3ooLJyyIaxgdy9w7seHCBk,"Cara de Mapa","Bronce","Atrás Hay Truenos",2016-08-25,127676,22,false,ruffoj,2024-04-04T17:43:45Z,"latin indie","Laptra",0.515,0.689,6,-6.831,0,0.0397,0.047,0.000145,0.296,0.664,77.373,4
spotify:track:4uXl8qTDYQ4a5gY1wyvBwp,"A.P.T (American Pro Trucker)","El Sonido Del Éxtasis","Winona Riders",2023-11-03,503077,31,false,ruffoj,2024-04-04T17:43:45Z,"","Indie Folks",0.465,0.844,2,-9.87,1,0.0384,0.0242,0.687,0.0807,0.413,164.042,4
spotify:track:4yat14Nd2anMOjDMp8ddDh,"Aunque Todos Quieran Hablar","Paso Néctar","Picnic Al Costado Del Camino",2021-05-21,215747,16,false,ruffoj,2024-04-04T17:43:45Z,"","Picnic Al Costado Del Camino",0.555,0.611,4,-6.569,0,0.0277,0.00991,0.000151,0.148,0.475,132.044,4
spotify:track:3qE7zIcgcHgOSHhIdHgoEy,"Distracción Instantánea","Aguinaldo","Máze",2023-11-03,267918,26,false,ruffoj,2024-04-04T17:43:45Z,"","1/4 Compañia Discográfica",0.608,0.751,4,-6.533,1,0.0377,0.0137,0.00637,0.375,0.421,158.029,4
